HLT_Mu16_TkMu0_dEta18_Onia,11.86,14.17
HLT_Dimuon16_Jpsi,14.35,20.5
HLT_Dimuon13_PsiPrime,4.67,5.74
HLT_Dimuon13_Upsilon,6.22,8.35
HLT_Dimuon10_Jpsi_Barrel,2.01,2.96
HLT_Dimuon8_PsiPrime_Barrel,4.84,5.5
HLT_Dimuon8_Upsilon_Barrel,7.16,8.77
HLT_Dimuon0_Phi_Barrel,10.78,18.05
HLT_Mu16_TkMu0_dEta18_Phi,4.63,5.95
HLT_DoubleMu4_3_Bs,4.1,6.22
HLT_DoubleMu4_3_Jpsi_Displaced,7.85,19.69
HLT_DoubleMu4_JpsiTrk_Displaced,11.83,25.23
HLT_DoubleMu4_LowMassNonResonantTrk_Displaced,46.41,46.82
HLT_DoubleMu4_PsiPrimeTrk_Displaced,3.84,4.32
HLT_Dimuon0_Jpsi_Muon,4.74,5.4
HLT_Dimuon0_Upsilon_Muon,1.31,5.02
HLT_Mu7p5_L2Mu2_Jpsi,0.22,0.44
HLT_Mu7p5_L2Mu2_Upsilon,2.92,3.7
HLT_Mu7p5_Track2_Jpsi,0.31,0.44
HLT_Mu7p5_Track3p5_Jpsi,0.28,0.37
HLT_Mu7p5_Track7_Jpsi,0.13,0.2
HLT_Mu7p5_Track2_Upsilon,0.05,0.14
HLT_Mu7p5_Track3p5_Upsilon,0.01,0.08
HLT_Mu7p5_Track7_Upsilon,0.01,0.04
HLT_Dimuon6_Jpsi_NoVertexing,0.1,0.12
HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing,0.38,0.65
HLT_Dimuon0er16_Jpsi_NoVertexing,0.37,0.46
