HLT Path,L1 Seeds,L1 pre scale,HLT pre scale,Total,,, QCD15to30,,,QCD30to50,,,QCD50to80,,,QCD80to120,,,QCD120to170,,,QCD170to300,,,QCD300to470,,,QCD470to600,,,EMEnr30to80,,,EMEnr80to170,,,MuEnr30to50,,,MuEnr50to80,,,MuEnr80to120,,,WToENu,,,ZToEE,,,WToMuNu,,,ZToMuMu,,
HLT_IsoMu20_v2 , L1_SingleMu16 ,1,1,127.30,+-,10.86,35.95,+/-,10.84,0.92,+/-,0.46,0.27,+/-,0.09,0.05,+/-,0.01,0.14,+/-,0.01,0.05,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,3.64,+/-,0.23,0.19,+/-,0.01,23.73,+/-,0.30,6.04,+/-,0.08,0.88,+/-,0.01,0.00,+/-,0.00,0.00,+/-,0.00,47.25,+/-,0.27,7.81,+/-,0.07
HLT_Ele27_eta2p1_WPLoose_Gsf_v1 , L1_SingleIsoEG22er OR L1_SingleEG25 , 1 1 ,1,114.37,+-,5.93,9.81,+/-,5.66,8.77,+/-,1.42,8.54,+/-,0.53,2.69,+/-,0.11,0.99,+/-,0.03,1.11,+/-,0.02,0.13,+/-,0.00,0.01,+/-,0.00,40.67,+/-,0.76,6.86,+/-,0.08,0.31,+/-,0.03,0.37,+/-,0.02,0.18,+/-,0.01,28.69,+/-,0.20,5.28,+/-,0.05,0.01,+/-,0.00,0.00,+/-,0.00
HLT_IsoTkMu20_v2 , L1_SingleMu16 ,1,1,111.98,+-,9.27,26.15,+/-,9.24,0.69,+/-,0.40,0.23,+/-,0.09,0.03,+/-,0.01,0.12,+/-,0.01,0.04,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,2.64,+/-,0.19,0.15,+/-,0.01,21.40,+/-,0.28,5.34,+/-,0.07,0.78,+/-,0.01,0.00,+/-,0.00,0.00,+/-,0.00,46.46,+/-,0.27,7.72,+/-,0.07
HLT_IsoMu20_eta2p1_v2 , L1_SingleMu16er ,1,1,111.66,+-,9.83,29.42,+/-,9.81,0.92,+/-,0.46,0.27,+/-,0.09,0.05,+/-,0.01,0.12,+/-,0.01,0.04,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,3.53,+/-,0.22,0.18,+/-,0.01,21.57,+/-,0.28,5.54,+/-,0.07,0.81,+/-,0.01,0.00,+/-,0.00,0.00,+/-,0.00,41.76,+/-,0.25,7.05,+/-,0.06
HLT_IsoTkMu20_eta2p1_v2 , L1_SingleMu16er ,1,1,103.69,+-,9.27,26.15,+/-,9.24,0.69,+/-,0.40,0.23,+/-,0.09,0.03,+/-,0.01,0.11,+/-,0.01,0.04,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,2.51,+/-,0.19,0.15,+/-,0.01,19.49,+/-,0.27,4.91,+/-,0.07,0.72,+/-,0.01,0.00,+/-,0.00,0.00,+/-,0.00,41.33,+/-,0.25,7.00,+/-,0.06
HLT_IsoMu24_eta2p1_v2 , L1_SingleMu20er ,1,1,77.32,+-,7.32,16.34,+/-,7.31,0.23,+/-,0.23,0.17,+/-,0.07,0.00,+/-,0.00,0.09,+/-,0.01,0.03,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,1.91,+/-,0.16,0.13,+/-,0.01,10.06,+/-,0.19,3.79,+/-,0.06,0.62,+/-,0.01,0.00,+/-,0.00,0.00,+/-,0.00,37.38,+/-,0.24,6.26,+/-,0.06
HLT_IsoTkMu24_eta2p1_v2 , L1_SingleMu20er ,1,1,75.35,+-,7.33,16.34,+/-,7.31,0.46,+/-,0.33,0.17,+/-,0.07,0.00,+/-,0.00,0.08,+/-,0.01,0.03,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,1.46,+/-,0.14,0.11,+/-,0.01,9.11,+/-,0.18,3.37,+/-,0.06,0.55,+/-,0.01,0.00,+/-,0.00,0.00,+/-,0.00,37.09,+/-,0.24,6.23,+/-,0.06
HLT_Ele27_eta2p1_WPTight_Gsf_v1 , L1_SingleIsoEG22er OR L1_SingleEG25 , 1 1 ,1,73.53,+-,4.84,6.54,+/-,4.62,6.46,+/-,1.22,4.35,+/-,0.38,1.20,+/-,0.07,0.39,+/-,0.02,0.49,+/-,0.01,0.06,+/-,0.00,0.01,+/-,0.00,18.86,+/-,0.52,2.98,+/-,0.05,0.23,+/-,0.03,0.22,+/-,0.01,0.09,+/-,0.00,26.54,+/-,0.19,5.00,+/-,0.05,0.01,+/-,0.00,0.00,+/-,0.00
HLT_Ele32_eta2p1_WPLoose_Gsf_v1 , L1_SingleIsoEG30er OR L1_SingleEG40 , 1 1 ,1,70.01,+-,3.49,3.27,+/-,3.27,3.92,+/-,0.95,5.29,+/-,0.42,2.27,+/-,0.10,0.93,+/-,0.03,1.07,+/-,0.02,0.13,+/-,0.00,0.01,+/-,0.00,21.19,+/-,0.55,6.14,+/-,0.07,0.09,+/-,0.02,0.21,+/-,0.01,0.14,+/-,0.01,20.97,+/-,0.17,4.34,+/-,0.05,0.00,+/-,0.00,0.00,+/-,0.00
HLT_IsoMu27_v2 , L1_SingleMu25 ,1,1,58.55,+-,3.29,3.27,+/-,3.27,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.08,+/-,0.01,0.03,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,1.20,+/-,0.13,0.12,+/-,0.01,5.87,+/-,0.15,3.05,+/-,0.05,0.56,+/-,0.01,0.00,+/-,0.00,0.00,+/-,0.00,37.66,+/-,0.24,6.39,+/-,0.06
