Path,Group,Total rate (Hz),,,QCDPt15to30,,,QCDPt30to50,,,QCDPt50to80,,,QCDPt80to120,,,QCDPt120to170,,,QCDPt170to300,,,QCDPt300to470,,,QCDPt470to600,,,QCDPt600to800,,,QCDPt800to1000,,,QCDPt1000to1400,,,QCDPt1400to1800,,,QCDPt1800,,,DYToEE,,,DYToMuMu,,,WToENu,,,WToMuNu,,,QCDEMPt30to80,,,QCDEMPt80to120,,,QCDMuPt30to50,,,QCDMuPt50to80,,,QCDMuPt80to120,,,,Total QCD rate (Hz),,,Total QCD 30to80,,,Total QCD 80to170,,,Total EW rate (Hz),,
All,,770.09,±,20.60,144.99,±,20.11,35.09,±,2.83,37.17,±,1.12,29.24,±,0.60,50.78,±,0.77,71.72,±,0.98,0.00,±,0.00,2.92,±,0.03,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,4.53,±,0.05,0.00,±,0.00,21.68,±,0.25,36.53,±,0.43,125.08,±,2.29,43.80,±,0.79,80.55,±,1.05,49.78,±,0.83,36.22,±,0.95,,,,,,,,,,,,,
HLT_Ele27_eta2p1_WPLoose_Gsf_v1,"Top,SMP",145.98,±,6.72,13.94,±,6.23,12.76,±,1.71,11.52,±,0.62,4.56,±,0.24,1.45,±,0.13,1.14,±,0.12,0.00,±,0.00,0.01,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,3.78,±,0.05,0.00,±,0.00,20.91,±,0.25,0.02,±,0.01,65.38,±,1.66,9.22,±,0.36,0.39,±,0.07,0.63,±,0.09,0.27,±,0.08,,,,,,,,,,,,,
HLT_IsoMu20_v2,SMP,104.05,±,10.09,36.25,±,10.05,0.46,±,0.32,0.34,±,0.11,0.05,±,0.02,0.15,±,0.04,0.03,±,0.02,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,35.14,±,0.42,3.57,±,0.39,0.18,±,0.05,21.63,±,0.55,5.47,±,0.27,0.80,±,0.14,,,,,,,,,,,,,
HLT_IsoMu20_eta2p1_v2,Top,89.18,±,8.86,27.88,±,8.82,0.46,±,0.32,0.34,±,0.11,0.05,±,0.02,0.15,±,0.04,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,31.37,±,0.39,3.36,±,0.38,0.17,±,0.05,19.72,±,0.52,5.00,±,0.26,0.67,±,0.13,,,,,,,,,,,,,
HLT_Ele32_eta2p1_WPLoose_Gsf_v1,"Top,SMP",87.97,±,4.31,5.58,±,3.94,4.56,±,1.02,7.76,±,0.51,3.93,±,0.22,1.32,±,0.12,1.05,±,0.12,0.00,±,0.00,0.01,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,3.14,±,0.04,0.00,±,0.00,15.61,±,0.21,0.01,±,0.01,35.80,±,1.23,8.41,±,0.34,0.10,±,0.04,0.43,±,0.08,0.27,±,0.08,,,,,,,,,,,,,
HLT_Ele27_eta2p1_WPTight_Gsf_v1,"Top,SMP",85.64,±,4.39,5.58,±,3.94,8.43,±,1.39,6.08,±,0.45,2.13,±,0.16,0.80,±,0.10,0.55,±,0.09,0.00,±,0.00,0.01,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,3.62,±,0.05,0.00,±,0.00,19.76,±,0.24,0.02,±,0.01,33.57,±,1.19,4.42,±,0.25,0.28,±,0.06,0.27,±,0.06,0.12,±,0.06,,,,,,,,,,,,,
HLT_IsoTkMu20_v2,SMP,81.96,±,7.42,19.52,±,7.38,0.23,±,0.23,0.20,±,0.08,0.02,±,0.02,0.09,±,0.03,0.03,±,0.02,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,34.61,±,0.41,2.44,±,0.32,0.17,±,0.05,19.12,±,0.51,4.83,±,0.26,0.70,±,0.13,,,,,,,,,,,,,
HLT_IsoTkMu20_eta2p1_v2,SMP,73.00,±,6.88,16.73,±,6.83,0.23,±,0.23,0.20,±,0.08,0.02,±,0.02,0.09,±,0.03,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,30.88,±,0.39,2.18,±,0.30,0.14,±,0.04,17.46,±,0.49,4.46,±,0.25,0.57,±,0.12,,,,,,,,,,,,,
HLT_IsoMu24_eta2p1_v2,"Top,SMP,HIG",54.32,±,5.61,11.15,±,5.58,0.00,±,0.00,0.13,±,0.07,0.00,±,0.00,0.14,±,0.04,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,27.97,±,0.37,1.68,±,0.27,0.11,±,0.04,9.22,±,0.36,3.31,±,0.21,0.60,±,0.12,,,,,,,,,,,,,
HLT_Ele32_eta2p1_WPTight_Gsf_v1,noGoogleDoc,54.29,±,3.09,2.79,±,2.79,2.96,±,0.82,4.20,±,0.38,1.82,±,0.15,0.71,±,0.09,0.48,±,0.08,0.00,±,0.00,0.01,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,3.03,±,0.04,0.00,±,0.00,14.91,±,0.21,0.01,±,0.01,18.95,±,0.89,4.07,±,0.24,0.07,±,0.03,0.16,±,0.05,0.12,±,0.06,,,,,,,,,,,,,
